Strain,SRR
VO0202E1TC,SRR2059603
VI9608EPB,SRR2059602
VI9508E,SRR2059601
V9804E,SRR2059600
TRK02-08E3,SRR2059599
TRK02-08E1,SRR2059598
TRK02-07E1,SRR2059597
TRK02-06E3,SRR2059596
TRK02-06E2,SRR2059595
TRK02-04E3,SRR2059594
TRK02-04E1,SRR2059593
TRK02-02E2,SRR2059592
TRK02-02E1,SRR2059591
SWKR38E2,SRR2059590
SWKR38E1,SRR2059589
SWKR24E1,SRR2059588
SWKR07E1,SRR2059587
SWKR0402E2,SRR2059586
SWKR0402E1,SRR2059585
SW280E,SRR2059584
SW279E,SRR2059583
SP457-458E,SRR2059582
SP417E-NT,SRR2059581
SP417E-Alc,SRR2059580
SOKR-50E2,SRR2059579
SOKR-50E1,SRR2059578
SOKR-49E2,SRR2059577
SOKR-49E1,SRR2059576
SOKR-46E3,SRR2059575
SOKR-46E1,SRR2059574
SOKR-44E3,SRR2059573
SOKR-44E2,SRR2059572
SOKR-44E1,SRR2059571
SOKR-43E2,SRR2059570
SOKR-42E1,SRR2059569
SOKR-38E2,SRR2059568
SOKR-3602E1,SRR2059567
SOKR-34E5,SRR2059566
SOKR-34E2,SRR2059565
SOKR-33E1,SRR2059564
SOKR-27E1,SRR2059563
SOKR-25E3,SRR2059562
SOKR-25E2,SRR2059561
SOKR-24E3,SRR2059560
SOKR-24E2,SRR2059559
SOKR-23E3,SRR2059558
SOKR-23E1,SRR2059557
SOKR-22E3,SRR2059556
SOKR-22E1,SRR2059555
SOKR-20E1,SRR2059554
SOKR-19E1,SRR2059553
SO329E2,SRR2059552
SO329E1,SRR2059551
SO326E1,SRR2059550
SO325E,SRR2059549
SO321E1,SRR2059548
SO309E2,SRR2059547
SO307E1,SRR2059546
SO305E2,SRR2059545
SO305E1,SRR2059544
SO304E2,SRR2059543
SO304E1,SRR2059542
SO303E5,SRR2059541
SO303E4,SRR2059540
SO303E3,SRR2059539
SO303E1,SRR2059538
SE9908E,SRR2059537
S9510E,SRR2059536
RSKR-68E3,SRR2059535
RSKR-68E2,SRR2059534
RSKR-68E1,SRR2059533
PBKR-41E1,SRR2059532
MU9708EJG-F236,SRR2059531
MU9708EJG-F235,SRR2059530
MU8903E,SRR2059529
MU0103EMS,SRR2059528
MU0005EJT,SRR2059527
MSKR5102E2,SRR2059526
MI9706E,SRR2059525
MI9608ESM,SRR2059524
MI9507E,SRR2059523
MI69709E,SRR2059522
MI59709E,SRR2059521
MI19709E,SRR2059520
ME1010E1JL,SRR2059519
ME0702E1CS,SRR2059518
KAPB-8,SRR2059517
KAPB-3,SRR2059516
INWB2202E1,SRR2059515
IN01SE63E1,SRR2059514
IG0410E3LC,SRR2059513
IG0410E2LC,SRR2059512
IG0202E1,SRR2059511
IG0201E2BC,SRR2059510
Gordon,SRR2059509
GA9811E2MS,SRR2059508
GA9709ENS,SRR2059507
GA9709EJA,SRR2059506
GA9709EHS,SRR2059505
GA9706EMA,SRR2059504
GA9608EPB,SRR2059503
GA9604ESM,SRR2059502
GA9604EAK,SRR2059501
GA1101E1BB,SRR2059500
GA0811E1IT,SRR2059499
GA0808EPA,SRR2059498
GA0702E1CS,SRR2059497
GA0702E1,SRR2059496
GA0202E1TS,SRR2059495
GA0108EJC,SRR2059494
FWSKR4802E1,SRR2059493
FWSKR40E1,SRR2059492
FWSK02-07E3,SRR2059491
FWSK02-07E1,SRR2059490
FWSK02-06E2,SRR2059489
FWSK02-06E1,SRR2059488
FWSK02-05E2,SRR2059487
FWSK02-05E1,SRR2059486
FWSK02-04E1,SRR2059485
FWSK02-02E1,SRR2059484
FWSK02-01E3,SRR2059483
FWSK02-01E2,SRR2059482
FWKR11E1,SRR2059481
FWKR02E1,SRR2059480
FE9909ERG,SRR2059479
FE9908EDL,SRR2059478
FE9709ELB,SRR2059477
FE9709EBB2,SRR2059476
FE9709EBB,SRR2059475
FE9708E1PI,SRR2059474
FE9708E1JI,SRR2059473
FE9604ENT,SRR2059472
FE9507EEA,SRR2059471
FE1010E1JL,SRR2059470
FE0801E1IT,SRR2059469
FE0202E1TC,SRR2059468
FE0201E1BC,SRR2059467
FE0005EJT,SRR2059466
F9508EPB,SRR2059465
E-RUSS,SRR2059464
E1 Dolman,SRR2059463
DB2,SRR2059462
CA9708E1,SRR2059461
BFLY-6,SRR2059460
BFLY-2,SRR2059459
BFLY-1,SRR2059458
BE9708E1,SRR2059457
BE0211E3,SRR2059456
BE0211E2,SRR2059455
BE0211E1,SRR2059454
610F,SRR2059453
211 VH Dolman,SRR2059452
Eklund 17B,SRR2059451
Eklund 2B,SRR2059450
