Strain,Isolate,Biosample,ID,SRA
VO0202E1TC,CBO2_053,SAMN02228270,VO0202E1TC,SRS958258
VI9608EPB,CBO2_036,SAMN02228253,VI9608EPB,SRS958259
VI9508E,CBO2_038,SAMN02228255,VI9508E,SRS958260
V9804E,CBO2_046,SAMN02228263,V9804E,SRS958261
TRK02-08E3,CBO2_234,SAMN02228426,TRK02-08E3,SRS958262
TRK02-08E1,CBO2_232,SAMN02228424,TRK02-08E1,SRS958263
TRK02-07E1,CBO2_144,SAMN02228351,TRK02-07E1,SRS958264
TRK02-06E3,CBO2_231,SAMN02228423,TRK02-06E3,SRS958265
TRK02-06E2,CBO2_143,SAMN02228350,TRK02-06E2,SRS958266
TRK02-04E3,CBO2_150,SAMN02228357,TRK02-04E3,SRS958268
TRK02-04E1,CBO2_149,SAMN02228356,TRK02-04E1,SRS958271
TRK02-02E2,CBO2_147,SAMN02228354,TRK02-02E2,SRS958272
TRK02-02E1,CBO2_146,SAMN02228353,TRK02-02E1,SRS958273
SWKR38E2,CBO2_080,SAMN02228296,SWKR38E2,SRS958274
SWKR38E1,CBO2_079,SAMN02228295,SWKR38E1,SRS958275
SWKR24E1,CBO2_078,SAMN02228294,SWKR24E1,SRS958276
SWKR07E1,CBO2_199,SAMN02228399,SWKR07E1,SRS958277
SWKR0402E2,CBO2_088,SAMN02228304,SWKR0402E2,SRS958278
SWKR0402E1,CBO2_186,SAMN02228387,SWKR0402E1,SRS958279
SW280E,CBO2_096,SAMN02228312,SW280E,SRS958280
SW279E,CBO2_112,SAMN02228327,SW279E,SRS958281
SP457-458E,CBO2_128,SAMN02228340,SP457-458E,SRS958282
SP417E-NT,CBO2_091,SAMN02228307,SP417E-NT,SRS958283
SP417E-Alc,CBO2_130,SAMN02228342,SP417E-Alc,SRS958284
SOKR-50E2,CBO2_103,SAMN02228319,SOKR-50E2,SRS958285
SOKR-50E1,CBO2_102,SAMN02228318,SOKR-50E1,SRS958286
SOKR-49E2,CBO2_086,SAMN02228302,SOKR-49E2,SRS958287
SOKR-49E1,CBO2_127,SAMN02228339,SOKR-49E1,SRS958255
SOKR-46E3,CBO2_168,SAMN02228372,SOKR-46E3,SRS958294
SOKR-46E1,CBO2_167,SAMN02228371,SOKR-46E1,SRS958293
SOKR-44E3,CBO2_084,SAMN02228300,SOKR-44E3,SRS958292
SOKR-44E2,CBO2_083,SAMN02228299,SOKR-44E2,SRS958295
SOKR-44E1,CBO2_073,SAMN02228289,SOKR-44E1,SRS958296
SOKR-43E2,CBO2_101,SAMN02228317,SOKR-43E2,SRS958297
SOKR-42E1,CBO2_193,SAMN02228393,SOKR-42E1,SRS958300
SOKR-38E2,CBO2_163,SAMN02228368,SOKR-38E2,SRS958301
SOKR-3602E1,CBO2_188,SAMN02228389,SOKR-3602E1,SRS958298
SOKR-34E5,CBO2_126,SAMN02228338,SOKR-34E5,SRS958299
SOKR-34E2,,SAMN03755400,SOKR-34E2,SRS958302
SOKR-33E1,CBO2_087,SAMN02228303,SOKR-33E1,SRS958303
SOKR-27E1,CBO2_229,SAMN02228421,SOKR-27E1,SRS958304
SOKR-25E3,CBO2_075,SAMN02228291,SOKR-25E3,SRS958305
SOKR-25E2,CBO2_074,SAMN02228290,SOKR-25E2,SRS958306
SOKR-24E3,CBO2_060,SAMN02228277,SOKR-24E3,SRS958307
SOKR-24E2,CBO2_072,SAMN02228288,SOKR-24E2,SRS958308
SOKR-23E3,CBO2_081,SAMN02228297,SOKR-23E3,SRS958309
SOKR-23E1,CBO2_085,SAMN02228301,SOKR-23E1,SRS958310
SOKR-22E3,CBO2_105,SAMN02228321,SOKR-22E3,SRS958312
SOKR-22E1,CBO2_104,SAMN02228320,SOKR-22E1,SRS958311
SOKR-20E1,CBO2_153,SAMN02228359,SOKR-20E1,SRS958314
SOKR-19E1,CBO2_119,SAMN02228334,SOKR-19E1,SRS958313
SO329E2,CBO2_154,SAMN02228360,SO329E2,SRS958315
SO329E1,CBO2_094,SAMN02228310,SO329E1,SRS958317
SO326E1,CBO2_093,SAMN02228309,SO326E1,SRS958316
SO325E,CBO2_140,SAMN02228349,SO325E,SRS958318
SO321E1,CBO2_076,SAMN02228292,SO321E1,SRS958319
SO309E2,CBO2_089,SAMN02228305,SO309E2,SRS958320
SO307E1,CBO2_219,SAMN02228415,SO307E1,SRS958321
SO305E2,CBO2_194,SAMN02228394,SO305E2,SRS958322
SO305E1,CBO2_190,SAMN02228391,SO305E1,SRS958323
SO304E2,CBO2_189,SAMN02228390,SO304E2,SRS958324
SO304E1,CBO2_187,SAMN02228388,SO304E1,SRS958326
SO303E5,CBO2_129,SAMN02228341,SO303E5,SRS958325
SO303E4,CBO2_131,SAMN02228343,SO303E4,SRS958327
SO303E3,CBO2_132,SAMN02228344,SO303E3,SRS958329
SO303E1,CBO2_133,SAMN02228345,SO303E1,SRS958330
SE9908E,CBO2_118,SAMN02228333,SE9908E,SRS958328
S9510E,CBO2_041,SAMN02228258,S9510E,SRS958331
